"","ID_Environmental","ID_sequencing","longitude","latitude","continent","OTU_371","OTU_727","OTU_75","OTU_2106","OTU_132","OTU_496","OTU_249","OTU_6462","OTU_701","OTU_7081","OTU_254","OTU_93","OTU_11827","OTU_323","OTU_338","OTU_397","OTU_349","OTU_71","OTU_5357","OTU_5482","OTU_70","OTU_21850","OTU_640","OTU_42608","OTU_14779","OTU_531","OTU_217","OTU_391","OTU_56","OTU_255","OTU_2065","OTU_198","OTU_5921","OTU_74","OTU_340","OTU_682","OTU_810","OTU_243","OTU_7213","OTU_2592","OTU_5857","OTU_22324","OTU_119","OTU_10","OTU_36249","OTU_4829","OTU_45","OTU_111","OTU_11839","OTU_5704","OTU_9832","OTU_971","OTU_6625","OTU_3109","OTU_12506","OTU_454","OTU_50","OTU_19226","OTU_1614","OTU_1574","OTU_18635","OTU_196","OTU_19940","OTU_783","OTU_3504","OTU_439","OTU_700","OTU_158","OTU_354","OTU_21325","OTU_33","OTU_173","OTU_98","OTU_7783","OTU_39105","OTU_41","OTU_41662","OTU_62","OTU_203","OTU_210","OTU_17316","OTU_10813","OTU_123","OTU_450","OTU_25205","OTU_21010","OTU_503","OTU_19665","OTU_2372","OTU_76","OTU_298","OTU_18652","OTU_26","OTU_2920","OTU_383","OTU_605","OTU_337","OTU_165","OTU_225","OTU_2630","OTU_8182","OTU_35535","OTU_3018","OTU_316","OTU_22664","OTU_1156","OTU_695","OTU_68","OTU_138","OTU_1087","OTU_310","OTU_40882","OTU_300","OTU_28942","OTU_385","OTU_24244","OTU_458","OTU_30","OTU_10913","OTU_86","OTU_272","OTU_36092","OTU_347","OTU_4842","OTU_23","OTU_147","OTU_3293","OTU_633","OTU_16","OTU_5987","OTU_35","OTU_307","OTU_117","OTU_800","OTU_352","OTU_1770","OTU_41795","OTU_1282","OTU_2206","OTU_1517","OTU_2859","OTU_639","OTU_6567","OTU_135","OTU_30959","OTU_11937","OTU_348","OTU_1758","OTU_214","OTU_107","OTU_477","OTU_9846","OTU_4995","OTU_69","OTU_202","OTU_137","OTU_854","OTU_519","OTU_1273","OTU_1748","OTU_120","OTU_1817","OTU_4343","OTU_512","OTU_206","OTU_613","OTU_28747","OTU_28492","OTU_3279","OTU_1534","OTU_24690","OTU_12102","OTU_731","OTU_1589","OTU_564","OTU_899","OTU_156","OTU_59","OTU_209","OTU_22401","OTU_4034","OTU_24","OTU_2097","OTU_9452","OTU_157","OTU_2128","OTU_3213","OTU_443","OTU_1019","OTU_208","OTU_4226","OTU_912","OTU_369","OTU_17160","OTU_654","OTU_24926","OTU_43364","OTU_253","OTU_3542","OTU_655"
"1",11,11,-83.5,35,"North_America",2e-04,6e-04,0,0,0,1e-04,0.0013,0,0,0,0,1e-04,0,2e-04,0,0,0,0,0,0,0.0039,0,0,1e-04,0,5e-04,0,0,0.0016,0,0,5e-04,8e-04,1e-04,1e-04,0,2e-04,2e-04,5e-04,0,0,1e-04,0,0.0328,1e-04,0,3e-04,0.0027,0,0.001,1e-04,0.0013,0,0,3e-04,3e-04,0,0,0,0,1e-04,0.0023,2e-04,0,0,0,2e-04,0,0,0,9e-04,4e-04,0,5e-04,0,8e-04,0,3e-04,0,0,9e-04,2e-04,5e-04,2e-04,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,5e-04,0.0034,0,1e-04,0,0,1e-04,6e-04,3e-04,0,0,0,9e-04,0,1e-04,7e-04,0,0,1e-04,0,0,0,0,0,0,0,0.0044,0.0039,0,5e-04,0,0,0,0,0,2e-04,0,2e-04,0,0,0,0.001,0,0,0,2e-04,0,1e-04,0,0,0,0,0,0,0,1e-04,0.0032,0,0,0,0,8e-04,6e-04,1e-04,0,0,0,0,5e-04,0,6e-04,0,0,0,0.002,0,4e-04,0,0,1e-04,0,1e-04,0.0302,0,0,4e-04,0,0,1e-04,0,0,3e-04,0,1e-04,9e-04,1e-04,2e-04,0,0,0,0
"2",24,24,-79.083,35.967,"North_America",6e-04,4e-04,0.0045,0,2e-04,0,4e-04,0,4e-04,3e-04,3e-04,0,3e-04,2e-04,0.0014,0,3e-04,3e-04,1e-04,0,9e-04,0,1e-04,0,1e-04,5e-04,0,1e-04,3e-04,0.0013,0,0.0058,2e-04,0.0019,7e-04,3e-04,6e-04,0,5e-04,0,0,0.0012,0.0019,0.0222,3e-04,1e-04,0.001,0.0023,0.001,2e-04,0,6e-04,0.0014,7e-04,2e-04,8e-04,0,3e-04,2e-04,2e-04,1e-04,0.0042,2e-04,4e-04,1e-04,0,5e-04,0.0027,2e-04,0,0.0049,1e-04,0.0017,8e-04,3e-04,0.0013,1e-04,7e-04,1e-04,6e-04,0.0012,3e-04,0.0013,1e-04,3e-04,0,0,0,0.0014,0.0028,1e-04,0,0.0012,1e-04,1e-04,7e-04,4e-04,1e-04,0.002,1e-04,0.0035,0,6e-04,0,3e-04,2e-04,7e-04,4e-04,0.0054,0,0.0021,0.0015,3e-04,0.0011,9e-04,0.003,0,0.0053,0,6e-04,0.0018,0,0,0,0,0.0028,7e-04,8e-04,0.0041,4e-04,8e-04,0,0.0026,1e-04,0.0027,6e-04,0,3e-04,0,8e-04,3e-04,5e-04,0.0013,3e-04,1e-04,1e-04,0.0021,4e-04,1e-04,0.0021,2e-04,0.0011,7e-04,0,8e-04,0.0015,0,4e-04,2e-04,0,0.0028,0.0014,1e-04,5e-04,0,2e-04,1e-04,1e-04,3e-04,1e-04,0,7e-04,1e-04,6e-04,0.0016,0.0011,0.0025,1e-04,6e-04,0,3e-04,0.0268,1e-04,0,8e-04,6e-04,2e-04,2e-04,1e-04,3e-04,2e-04,0,7e-04,4e-04,7e-04,4e-04,3e-04,1e-04,0,4e-04
"3",30,30,-86.702,36.872,"North_America",0.001,1e-04,0,0,0,2e-04,1e-04,0,0,0,0,0,0,2e-04,3e-04,0,0,4e-04,0,0,9e-04,0,0,2e-04,0,3e-04,4e-04,0,5e-04,1e-04,0,0.0027,6e-04,4e-04,1e-04,0,0,0,1e-04,0,0,0.0012,0,0.0171,3e-04,0,3e-04,5e-04,0,6e-04,0,0.0015,1e-04,2e-04,2e-04,1e-04,0,3e-04,0,0,0,0.006,0,0,0,0,3e-04,0,0.0011,2e-04,9e-04,0,2e-04,2e-04,0,0.0015,0,0,0,4e-04,0.0011,1e-04,9e-04,0,0,0,0,0,0,6e-04,0,0,0.0012,0,0,0,1e-04,1e-04,0.0019,6e-04,9e-04,0,1e-04,4e-04,3e-04,6e-04,5e-04,0.0018,1e-04,0,0,0.0023,2e-04,5e-04,0.0055,0,0,3e-04,1e-04,0,2e-04,0,0,0,0,8e-04,0.004,0,6e-04,0,0,0,2e-04,0,4e-04,1e-04,8e-04,1e-04,0,2e-04,3e-04,0,3e-04,1e-04,6e-04,0,5e-04,2e-04,2e-04,1e-04,0,1e-04,2e-04,0,1e-04,0.003,1e-04,0,0,1e-04,0.0031,0.0024,6e-04,2e-04,0,0,0,4e-04,0,3e-04,0,1e-04,0,0.0011,1e-04,5e-04,0,0,0,1e-04,6e-04,0.013,1e-04,0,0.0024,0,0,0.001,0,0,0,0,5e-04,0.002,4e-04,3e-04,1e-04,6e-04,0,0
"4",31,31,-101.63,41.2,"North_America",4e-04,4e-04,0.003,1e-04,1e-04,0.001,4e-04,2e-04,2e-04,0,0.006,0.001,7e-04,0.0012,0.0022,0,0.0021,0.0027,5e-04,0,0,0,3e-04,0,7e-04,0.0012,0,6e-04,3e-04,0.0016,0,0.0104,3e-04,0.0022,1e-04,0.0015,2e-04,6e-04,6e-04,2e-04,1e-04,0.0022,0.0017,0.0214,0,1e-04,7e-04,7e-04,0.0012,0.0011,2e-04,0.0021,9e-04,0.0017,1e-04,8e-04,0.0087,5e-04,5e-04,0.0014,2e-04,0.0034,1e-04,2e-04,0,1e-04,3e-04,0.0023,5e-04,5e-04,7e-04,8e-04,0.0056,2e-04,0.0019,0.0114,0,0.001,8e-04,4e-04,0.0028,1e-04,8e-04,5e-04,0,1e-04,1e-04,5e-04,0.0017,0.0046,7e-04,0,9e-04,4e-04,7e-04,0.0012,7e-04,6e-04,0.0013,5e-04,0.0035,1e-04,2e-04,0.0015,2e-04,2e-04,7e-04,0.0037,5e-04,2e-04,0.001,0.0024,2e-04,4e-04,6e-04,3e-04,1e-04,0,3e-04,0.0081,0.0016,0,4e-04,3e-04,3e-04,9e-04,0.002,5e-04,0.0034,2e-04,0.0049,2e-04,4e-04,2e-04,7e-04,0,1e-04,6e-04,0,8e-04,1e-04,8e-04,0.0011,0.0016,7e-04,2e-04,0.0038,8e-04,2e-04,6e-04,0.0024,0.0014,1e-04,0,2e-04,0.0026,3e-04,4e-04,3e-04,0,0.0046,0.002,2e-04,1e-04,0,1e-04,1e-04,6e-04,0,1e-04,3e-04,2e-04,5e-04,6e-04,0.0011,6e-04,0.0013,1e-04,0.0042,1e-04,8e-04,0.0134,1e-04,1e-04,2e-04,3e-04,0.0011,0.0032,5e-04,2e-04,3e-04,0,2e-04,1e-04,2e-04,0.0021,1e-04,8e-04,0,1e-04
"5",36,36,-121.968,44.277,"North_America",3e-04,2e-04,0,1e-04,0,1e-04,0,0,0,1e-04,0.0012,3e-04,0,1e-04,0,0,0,0,1e-04,4e-04,4e-04,0,0,4e-04,0,9e-04,0,5e-04,0.0058,2e-04,1e-04,0.0031,0.0016,1e-04,1e-04,0,3e-04,0,2e-04,0,0,2e-04,0,0.0383,3e-04,0,0,0.0027,0,5e-04,0,0.0138,0,0,4e-04,3e-04,0,0,0,0,3e-04,0.0036,0,0,0,0,2e-04,0,0,0,0.0021,7e-04,0,0.0012,0,0.0076,0,2e-04,3e-04,2e-04,9e-04,1e-04,9e-04,0.0016,1e-04,0,0,0,0,0.0013,0,0,0.0027,0,0,0,1e-04,0,0,0.0014,9e-04,0,2e-04,0.0011,0,1e-04,2e-04,0.0029,0,0,1e-04,0.005,0,1e-04,8e-04,0,0,2e-04,0,0,0,0,0,0,0,8e-04,0.0031,0,0.0038,1e-04,0,0,0,0,1e-04,0,2e-04,0,0,0,5e-04,3e-04,2e-04,0,1e-04,0,3e-04,1e-04,2e-04,0.0042,0,1e-04,0,0,5e-04,0.0014,2e-04,0,0,1e-04,0.0047,0,0,0,0,0,0,0.0013,0,4e-04,0,0,0,0,1e-04,1e-04,0,0,0,0,1e-04,0.0136,0,0,3e-04,3e-04,0,2e-04,0,0,5e-04,0,0.0016,7e-04,3e-04,0.0026,0,8e-04,0,0
"6",38,38,-96.88,31.48,"North_America",1e-04,3e-04,0.0031,1e-04,5e-04,0,0.0019,3e-04,6e-04,3e-04,0,0,1e-04,2e-04,0.0013,0,0.0011,5e-04,0,5e-04,1e-04,0,3e-04,0,1e-04,0.001,8e-04,0,0.0011,7e-04,4e-04,0.0024,3e-04,0.0032,0,5e-04,4e-04,0.0022,0,1e-04,1e-04,0.003,0.0057,0.0028,3e-04,4e-04,0.0059,8e-04,0.0026,1e-04,0,8e-04,7e-04,0.0027,0,2e-04,9e-04,2e-04,3e-04,0.002,0,0.0021,0,1e-04,6e-04,0.002,1e-04,0.023,2e-04,0,0.002,0,5e-04,2e-04,6e-04,0,0,0.002,0,0,0.0013,0,3e-04,0,0,1e-04,1e-04,0,4e-04,1e-04,0,0,0.0011,0,0,5e-04,1e-04,0,4e-04,1e-04,0.0013,1e-04,7e-04,0,2e-04,0,5e-04,2e-04,0.0098,2e-04,1e-04,1e-04,3e-04,4e-04,0.0012,0.0032,1e-04,0.0035,0,0,0.0025,0,0,0,2e-04,7e-04,5e-04,0.0015,0.008,5e-04,0.0021,1e-04,0.0025,0,5e-04,2e-04,0,0,0,0.0014,0,0,2e-04,0.004,2e-04,4e-04,0,7e-04,5e-04,4e-04,7e-04,2e-04,0,1e-04,2e-04,0.0011,1e-04,1e-04,1e-04,5e-04,0,0,8e-04,3e-04,3e-04,5e-04,6e-04,0,2e-04,0,0,0.0013,0,0.0029,0,2e-04,0.0029,7e-04,2e-04,0,0.0016,0.0072,0.0014,0,2e-04,2e-04,0.0029,5e-04,0,0.0016,0,3e-04,0,4e-04,1e-04,1e-04,0,0,0,0
"7",42,42,-97.11,41.61,"North_America",4e-04,0.0013,0.0014,1e-04,0.0011,0,9e-04,2e-04,2e-04,3e-04,2e-04,1e-04,0,3e-04,0.0012,1e-04,5e-04,7e-04,2e-04,1e-04,1e-04,0,0,0,2e-04,2e-04,0,1e-04,2e-04,7e-04,0,0.0105,3e-04,0.0028,3e-04,4e-04,2e-04,5e-04,3e-04,0,0,9e-04,0.002,0.0223,2e-04,0,0.0013,8e-04,0.0014,1e-04,1e-04,8e-04,4e-04,8e-04,0,0,1e-04,3e-04,1e-04,0,1e-04,0.0037,0,5e-04,1e-04,0,0,0.0011,0,1e-04,0.0094,2e-04,0.0018,6e-04,1e-04,0.0093,0,0.0019,3e-04,8e-04,3e-04,0,0.0018,0,2e-04,1e-04,0,0,5e-04,0.002,1e-04,0,0,0,0,3e-04,7e-04,4e-04,0.0012,0,0.0012,0,0,7e-04,1e-04,4e-04,0.001,0.0013,0.0047,0,0.0013,4e-04,1e-04,7e-04,0.0012,0.0011,0,8e-04,1e-04,0.0022,0.0024,0,1e-04,0,1e-04,0.0036,5e-04,3e-04,0.0078,2e-04,0.0011,1e-04,0.0022,0,0.0014,1e-04,2e-04,3e-04,2e-04,9e-04,4e-04,6e-04,5e-04,4e-04,2e-04,0,0.0018,3e-04,2e-04,0.0011,1e-04,6e-04,6e-04,0,7e-04,0.0017,0.0011,2e-04,0,2e-04,0.0076,0.002,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,4e-04,1e-04,0,0,1e-04,0.0014,1e-04,6e-04,0,3e-04,0,1e-04,0.0304,0,0,2e-04,1e-04,0,1e-04,1e-04,1e-04,2e-04,0,6e-04,2e-04,7e-04,2e-04,3e-04,3e-04,0,1e-04
"8",46,46,-96.78,44.04,"North_America",1e-04,9e-04,0.0023,0,0.0012,0,4e-04,2e-04,0,1e-04,0,0,0,4e-04,0.0017,0,0,1e-04,0,1e-04,0.0013,0,3e-04,0,0,3e-04,0,0,3e-04,2e-04,1e-04,0.0031,1e-04,9e-04,0.0024,3e-04,1e-04,1e-04,8e-04,2e-04,0,3e-04,0.001,0.0236,1e-04,0,0.003,0.0029,6e-04,1e-04,0,7e-04,9e-04,4e-04,3e-04,0.0028,0,2e-04,2e-04,0,0,0.0016,0,0,0,1e-04,2e-04,0.0042,0,1e-04,0.0086,3e-04,9e-04,0.002,0,0.001,1e-04,3e-04,1e-04,3e-04,2e-04,0,0.0023,0,3e-04,0,0,0,4e-04,0.0011,0,0,8e-04,1e-04,2e-04,3e-04,4e-04,2e-04,0.0013,1e-04,0.0015,0,0.0027,2e-04,5e-04,7e-04,8e-04,1e-04,0.004,0,0.0013,0.001,0.0029,2e-04,0.001,0.0075,3e-04,0.0012,1e-04,0,0.003,0,1e-04,0,0,0.0019,4e-04,0.0014,0.0037,0,0,0,6e-04,0,0.0039,0,2e-04,3e-04,0,0.0011,1e-04,0,9e-04,0,4e-04,0.0011,5e-04,1e-04,1e-04,0.0033,1e-04,3e-04,3e-04,0,0,0.0014,0,0,0,0,0.0046,6e-04,2e-04,0.0017,0,1e-04,2e-04,3e-04,1e-04,0,0,3e-04,0,0.0018,5e-04,8e-04,2e-04,1e-04,0,0,1e-04,0.0244,0,0,3e-04,1e-04,2e-04,3e-04,0,0,4e-04,0,5e-04,0,3e-04,0,0,1e-04,0,1e-04
"9",54,54,-79.855,9.151,"North_America",2e-04,2e-04,0,0,0,0,1e-04,0,0,0,0,0,0.0014,0,1e-04,0,0,0,0,0,2e-04,0,0,0,0,1e-04,6e-04,0,1e-04,0,5e-04,0.001,0,5e-04,0,1e-04,0,3e-04,2e-04,0,0,0,1e-04,0.0063,0,0,2e-04,4e-04,1e-04,0,0,0,1e-04,0.0018,7e-04,0,0,0,0,0,2e-04,0.0076,0,0,0,0,1e-04,1e-04,0.0023,0,1e-04,0,1e-04,0,0,0,1e-04,0,0,1e-04,0.0034,0,1e-04,0,0,0,0,0,0,0,0,5e-04,0,0,1e-04,0,0,0,1e-04,0,0.0029,0,0,0,0,0,0,7e-04,0.0012,0,0,4e-04,0,3e-04,4e-04,0.0033,0,7e-04,1e-04,0,7e-04,0,0,0,0,0.0112,0.0043,5e-04,2e-04,0,0,0,1e-04,0,1e-04,8e-04,0,0,0,0,1e-04,0,0.0049,0.0033,0.0015,0,0,7e-04,0,0,0,3e-04,1e-04,0,2e-04,0.0011,0,0,3e-04,0,0,0,1e-04,0.0017,0,0,0,2e-04,0,1e-04,0,0,0,3e-04,0,0,0,0,0,1e-04,6e-04,0.0297,3e-04,0,0.0058,0,0,6e-04,0,0,0,0,0,2e-04,4e-04,0,0,0,0,0
"10",58,58,-111.004,45.574,"North_America",2e-04,0,0,0,0,0,0,1e-04,0,0,0,0,0,2e-04,0,0,0,0,0,3e-04,0,0,0,2e-04,0,0.001,0,0,9e-04,0,0,7e-04,6e-04,0,3e-04,0,0,0,3e-04,0,0,0,0,0.0121,0,0,1e-04,0.0027,0,0,1e-04,2e-04,0,0,1e-04,0,0,0,0,0,3e-04,0.0019,1e-04,0,0,0,1e-04,0,0,0,2e-04,1e-04,0,0.0018,0,2e-04,0,0,0,0,2e-04,1e-04,2e-04,0.0022,1e-04,0,0,0,0,0.0136,0,0,0,0,0,0,0,0,0,7e-04,3e-04,0,0.0012,0,0,0,3e-04,0,0,0,0,0.0025,0,1e-04,1e-04,0.0028,0,0,0,0,0,0,0,0,0,1e-04,0.0016,0,0.0021,0,0,0,0,0,1e-04,0,0,0,0,0,2e-04,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,5e-04,0,0,0,5e-04,2e-04,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,8e-04,0,0,0,0,0,9e-04,0,0,1e-04,0,0,1e-04,0,0,1e-04,0,7e-04,1e-04,1e-04,1e-04,0,4e-04,0,0
"11",63,63,-111.004,45.574,"North_America",5e-04,0.001,0.002,3e-04,6e-04,0,0,0,2e-04,3e-04,1e-04,0,0,3e-04,3e-04,0,9e-04,0,0,2e-04,0,0,0,1e-04,0,0.0014,3e-04,4e-04,7e-04,7e-04,0,0.004,0.0012,6e-04,0.0018,0,0,9e-04,1e-04,0,0,0.0011,2e-04,0.0151,1e-04,0,0.0013,0.0057,0.0017,2e-04,0,7e-04,1e-04,2e-04,1e-04,6e-04,0,3e-04,0,0,5e-04,0.0028,0,1e-04,0,0,5e-04,0,3e-04,0,0.0027,1e-04,0.0025,7e-04,0,0.0023,0,0.001,5e-04,4e-04,9e-04,2e-04,0.0058,1e-04,0,2e-04,0,0,0,0.0114,0,1e-04,1e-04,0,2e-04,0,0,2e-04,5e-04,1e-04,1e-04,0,0.0015,1e-04,0.001,0,0.001,7e-04,3e-04,0,0.0012,0.0022,4e-04,0,0.0036,0.0012,3e-04,0.0029,2e-04,8e-04,1e-04,0.0016,0,2e-04,0,4e-04,0.0018,0,0.0052,0,1e-04,0,4e-04,0,0.002,1e-04,2e-04,0,3e-04,7e-04,1e-04,4e-04,0.0014,0,8e-04,0.0026,0,1e-04,1e-04,0.0011,0,2e-04,8e-04,0,0.0013,7e-04,5e-04,2e-04,1e-04,2e-04,0.0037,0.0017,4e-04,5e-04,0,0,2e-04,0,1e-04,2e-04,1e-04,2e-04,0,0,3e-04,0.0036,0,1e-04,0,0,4e-04,0.0071,0,0,4e-04,2e-04,0,1e-04,0,8e-04,2e-04,0,0.0021,3e-04,3e-04,1e-04,4e-04,0.0023,1e-04,5e-04
"12",65,65,-106.733,34.333,"North_America",0,3e-04,3e-04,0,1e-04,1e-04,6e-04,1e-04,0,0,0,0,0,0,4e-04,0,0,0,0,0,1e-04,0,0,1e-04,0,1e-04,0,1e-04,0.0016,3e-04,0,0.0017,1e-04,2e-04,2e-04,0,0,0.0012,0.0036,0,0,1e-04,0,0.0454,6e-04,0,1e-04,7e-04,2e-04,2e-04,0,3e-04,1e-04,0,5e-04,0,0,0,0,0,0,0.0059,0.0022,0,0,2e-04,0,0,6e-04,1e-04,0.0071,0,0,5e-04,0,0.0013,0,2e-04,0,3e-04,0.0024,1e-04,1e-04,0.0015,6e-04,1e-04,0,0,0,3e-04,0,0,0,0,0,0,3e-04,0,7e-04,0,0.0023,0,3e-04,5e-04,1e-04,0,2e-04,0.001,0.001,0,1e-04,0.0064,0,2e-04,8e-04,7e-04,0,1e-04,0,0,1e-04,0,0,0,0,0.003,0.0022,0,0.0011,0,0,0,0,0,0.002,1e-04,4e-04,0,0,1e-04,0.001,0,4e-04,3e-04,0,2e-04,5e-04,1e-04,1e-04,0,0,0,1e-04,0,0.006,0.0046,0,0,0,1e-04,0.0024,0.0013,3e-04,2e-04,0,0,0,0.0011,0,0.0011,0,1e-04,0,3e-04,6e-04,1e-04,0,0,0,0,4e-04,0.0344,0,1e-04,3e-04,0,0,4e-04,0,0,2e-04,0,6e-04,1e-04,6e-04,0,0,2e-04,0,0
"13",67,67,-149.583,68.633,"North_America",3e-04,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,3e-04,0,0.0015,1e-04,0,0.0025,2e-04,0,5e-04,0.0022,0,1e-04,0,0,0,7e-04,1e-04,0,0,0,0.0348,0,2e-04,1e-04,0.0011,0.0011,0,1e-04,0.0028,0,0,0,0,0,0,0,0,2e-04,0.0049,0,0,0,0,1e-04,0,0,0,0.003,4e-04,0,5e-04,0,0.001,0,2e-04,0,0,7e-04,2e-04,2e-04,0.0013,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,7e-04,6e-04,0,3e-04,0,1e-04,0,4e-04,0,0,0,1e-04,0.0111,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0.0044,0,0.0011,0,0,0,0,0,5e-04,0,0,0,0,0,3e-04,0,6e-04,0,1e-04,1e-04,0,0,0,0,0,0,0,0,5e-04,5e-04,0,0,0,0,8e-04,3e-04,0,0,0,0,0,0.0011,0,2e-04,0,0,0,0,1e-04,0,0,0,0,0,1e-04,0.0058,0,0,0,0,0,3e-04,0,0,3e-04,0,2e-04,2e-04,7e-04,4e-04,0,0.003,0,0
"14",69,69,146.212,-34.712,"Australia",6e-04,0.003,0.0031,7e-04,0.0029,1e-04,0.0022,8e-04,0.0027,4e-04,0.005,1e-04,7e-04,9e-04,0.004,8e-04,0.0093,0.0095,0.0019,0.001,3e-04,5e-04,0.0016,0,6e-04,4e-04,3e-04,1e-04,3e-04,0.0049,7e-04,6e-04,0,0.0032,0,0.0026,9e-04,0,1e-04,0.0011,9e-04,4e-04,0.0098,0.0013,0,7e-04,0.0021,1e-04,0.0144,1e-04,0,0,0.0021,0.0014,4e-04,0.0012,0.0152,0.0015,4e-04,0.0039,0,2e-04,0,3e-04,0.0012,2e-04,0.0018,5e-04,8e-04,0.001,2e-04,0.0015,0.0067,1e-04,0.0038,4e-04,1e-04,0.001,5e-04,1e-04,0.0026,1e-04,4e-04,2e-04,1e-04,4e-04,0.0136,5e-04,0.005,8e-04,0.0011,6e-04,0.0043,0.0038,3e-04,0.01,0.0017,2e-04,8e-04,0,1e-04,0.0026,4e-04,9e-04,8e-04,0,1e-04,0.0018,8e-04,7e-04,0.001,1e-04,4e-04,0.0031,2e-04,0.0012,0.0021,2e-04,1e-04,0.0067,1e-04,0.0017,0.002,0.001,0.0017,0,6e-04,6e-04,0.0095,6e-04,0.0119,3e-04,0.0032,0.0039,8e-04,5e-04,3e-04,5e-04,3e-04,0.0039,4e-04,4e-04,0.0016,7e-04,9e-04,0.0012,0.0014,9e-04,7e-04,0.0081,0.0076,6e-04,1e-04,0.0034,2e-04,2e-04,2e-04,0.0014,0.0025,3e-04,2e-04,0,4e-04,2e-04,0.0047,5e-04,0.0052,1e-04,1e-04,2e-04,8e-04,0.001,5e-04,1e-04,5e-04,1e-04,0.0038,0.0049,0.0044,3e-04,0,0.0012,0.0021,1e-04,1e-04,1e-04,0.0054,0.0033,6e-04,8e-04,0,0.0013,0,1e-04,2e-04,7e-04,9e-04,1e-04,0.0021,1e-04
"15",83,83,146.386,-34.558,"Australia",0.0045,0.0037,9e-04,0.005,0.0077,0.0014,0.0048,0.0031,0.0033,0.0027,0.002,0.001,3e-04,2e-04,0.0052,7e-04,0.0096,0.0033,3e-04,0.0039,0,0.0012,2e-04,0.0017,0.001,1e-04,2e-04,0.0013,0.0023,0.0027,0.0022,0.0055,0,0.0037,3e-04,0.0047,0.0019,0,0.0016,0.001,4e-04,0,0.0017,0.0144,0.0069,0,5e-04,0.0018,0.0109,8e-04,2e-04,1e-04,0.001,0.0014,0.0036,0.0016,0.0027,0.0015,0.0017,0.001,5e-04,0.0026,2e-04,0.0013,1e-04,8e-04,3e-04,0,8e-04,0.0015,1e-04,8e-04,0.0028,2e-04,0.0048,0.0011,0.0013,0.0018,9e-04,0.0014,0.002,0,4e-04,6e-04,0.0029,4e-04,4e-04,1e-04,0.0015,0.0011,0.001,2e-04,0.0077,1e-04,0,0,0,0.0012,9e-04,0,0,0.001,2e-04,2e-04,0.0011,2e-04,3e-04,0.0052,0.0014,5e-04,0.001,0.0015,0,0.0021,8e-04,0.0014,0,0.0012,2e-04,0.0026,0,6e-04,6e-04,0.0037,0.0019,4e-04,0.0014,6e-04,0.0085,6e-04,0.0033,0.0073,0.0046,6e-04,0.0063,2e-04,0.0018,0,5e-04,0.0056,4e-04,8e-04,4e-04,2e-04,0.0017,7e-04,4e-04,0.002,4e-04,0.0046,0,0.0025,8e-04,1e-04,0.0031,2e-04,4e-04,0.001,6e-04,0.0011,0,6e-04,8e-04,2e-04,3e-04,0.0015,9e-04,0.0011,4e-04,0.0036,6e-04,0.0019,5e-04,3e-04,2e-04,0.001,0.0012,0.0012,0.0022,1e-04,1e-04,0.0053,1e-04,0.0014,0.0017,1e-04,7e-04,0.0013,0.0014,0.0014,1e-04,0.0011,0,1e-04,0.0012,3e-04,6e-04,0,5e-04,5e-04
